annotation,count
methyltransferase FkbM,15
MULTISPECIES: ring-cleaving dioxygenase MhqE,15
nitrite reductase large subunit,15
conserved phage protein of unknown function; skin element,15
Rz1 family lipoprotein,15
aerobic glycerol-3-phosphate dehydrogenase,15
RimK-like protein,15
nuclease/transposase family protein,15
RING finger family 4 domain-containing protein,15
"MULTISPECIES: cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase",15
2-oxoglutarate dehydrogenase family protein,15
"MULTISPECIES: arabinogalactan endo-1,4-beta-galactosidase",15
Na+-translocating NADH-quinone reductase subunit C,15
MULTISPECIES: exosporium protein ExsE,15
ErpA-related iron-sulfur cluster insertion protein,15
prefoldin subunit alpha,15
MULTISPECIES: arginine utilization transcriptional regulator RocR,15
MULTISPECIES: D-alanyl-D-alanine carboxypeptidase DacB,15
MULTISPECIES: comG operon protein ComGC,15
cell wall-binding protein EntB,15
MULTISPECIES: M6 family metalloprotease immune inhibitor InhA1,15
DUF7132 family protein,15
DUF1122 family protein,15
killer suppression protein HigA,14
MULTISPECIES: basic secretory family protein,14
putative cytoplasmic protein (plasmid),14
"SIP domain-containing protein, partial",14
MULTISPECIES: cyclic-di-GMP phosphodiesterase MrkJ,14
"DUF4225 domain-containing protein, partial",14
"CRISPR-associated endoribonuclease Cas6, partial",14
"MULTISPECIES: transposase family protein, partial",14
SGO_0316/SGO_0317 family LPXTG-anchored serine peptidase,14
DUF5446 family protein,14
"class I lanthipeptide, partial",14
"DUF3391 domain-containing protein, partial",14
"DUF4189 domain-containing protein, partial",14
PTS sucrose transporter subunit IIBC,14
magnetosome biogenesis CDF transporter MamB,14
plasminogen-binding receptor Lp30,14
"DUF697 domain-containing protein, partial",14
"GNAT family N-acetyltransferase, cg3035/Rv0428c family, partial",14
LIC10965 family protein,14
alpha-(1-_3)-arabinofuranosyltransferase family protein,14
MULTISPECIES: diacylglycerol acyltransferase/mycolyltransferase Ag85C,14
"DUF2497 domain-containing protein, partial",14
d(CMP) kinase,14
LIC_11904 family protein,14
heat shock protein Hsp90 family protein,14
"PE/PPE C-terminal domain-containing protein, partial",14
"UDP-N-acetylglucosamine 4,6-dehydratase family protein, partial",14
M9 family metallopeptidase N-terminal domain-containing protein,14
type III secretion system translocon protein,14
MULTISPECIES: beta-barrel fold lipoprotein,14
HilA/EilA family virulence transcriptional regulator,14
"50S ribosomal protein L31, partial",14
"phosphate acyltransferase PlsX, partial",14
"Txp40, insecticidal toxin (previously name A24tox)",14
"DUF4230 domain-containing protein, partial",14
"PcfB family protein, partial",14
"DUF5689 domain-containing protein, partial",14
"RsmF rRNA methyltransferase first C-terminal domain-containing protein, partial",14
MULTISPECIES: folate-binding protein,14
"DUF4258 domain-containing protein, partial",14
LysR family transcriptional regulator MumR,14
"tRNA dihydrouridine(20/20a) synthase DusA, partial",14
MULTISPECIES: DUF2195 family protein,14
sialic acid O-acetyltransferase,14
DUF7639 domain-containing protein,14
gliding motility-associated lipoprotein,14
type IVa pilus ATPase TapT,14
NADP-dependent isopropanol dehydrogenase,14
IS21-like element ISPve1 family helper ATPase IstB,14
PhnA protein,14
"2OG-Fe(II) oxygenase family protein, partial",14
MULTISPECIES: envelope stress sensor histidine kinase HitS,14
retropepsin-like aspartic endopeptidase,14
MULTISPECIES: A1G_07140 family DUF167 domain protein,14
pathogenicity island effector protein,14
starch synthase,14
sigma-54 down-regulated protein,14
"large ribosomal subunit protein uL22, partial",14
peptide IlvX,14
"Bax inhibitor-1 family protein, partial",14
"abortive infection family protein, partial",14
"phage tail protein I, partial",14
"heparin lyase I family protein, partial",14
"NIL domain-containing protein, partial",14
"DUF5324 family protein, partial",14
O-antigen polysaccharide ligase WaaL-ps,14
YPO1635 family putative outer membrane beta-barrel protein,14
MULTISPECIES: HAF repeat-containing protein,14
MULTISPECIES: heat resistance protein PsiE-GI,14
MULTISPECIES: response regulator receiver domain,14
"sterol carrier protein domain-containing protein, partial",14
DUF6038 family protein,14
MULTISPECIES: DUF6298 domain-containing protein,14
MULTISPECIES: carnitine monooxygenase subunit alpha,14
"GAF domain-containing SpoIIE family protein phosphatase, partial",14
2-oxoacid:acceptor oxidoreductase,14
Ni/Fe-hydrogenase large subunit,14
Teichoic acid biosynthesis protein C (Precursor),14
GEGP motif-containing diheme protein,14
phthalyl amidase,14
polymorphic toxin type 5 domain-containing protein,14
"C45 family autoproteolytic acyltransferase/hydolase, partial",14
"DUF4400 domain-containing protein, partial",14
MULTISPECIES: dihydrodiol dehydrogenase,14
"DUF2062 domain-containing protein, partial",14
"YVTN family beta-propeller repeat protein, partial",14
MULTISPECIES: sulfite reductase flavoprotein subunit alpha,14
RNA methyltransferase substrate-binding domain-containing protein,14
"MULTISPECIES: class B sortase, LPKTxAVK-specific",14
"branched-chain amino acid aminotransferase, partial",14
"peptidyl-tRNA hydrolase, partial",14
"coproporphyrinogen-III oxidase family protein, partial",14
MULTISPECIES: dCTP deaminase domain-containing protein,14
MULTISPECIES: CBM9 family sugar-binding protein,14
MULTISPECIES: flagellar M-ring protein FliF C-terminal domain-containing protein,14
MULTISPECIES: 2Fe-2S ferredoxin,14
MULTISPECIES: DUF3978 family protein,14
DUF6853 family protein,14
"thymidine kinase, partial",14
glutamate/aspartate ABC transporter permease GltJ,14
MULTISPECIES: histone protein,14
TetR family copper-responsive transcriptional repressor ComR,14
T3SS effector NleG family protein,14
MULTISPECIES: DUF4018 domain-containing protein,14
response regulator transcription factor FruA,14
intimin-like inverse autotransporter SinH,14
MULTISPECIES: NDR1/HIN1-like protein,14
MULTISPECIES: GH-E family nuclease,14
MULTISPECIES: VanY-A/VanY-F/VanY-M family D-Ala-D-Ala carboxypeptidase,14
MULTISPECIES: DUF4052 family protein,14
"holo-ACP synthase, partial",14
"cytochrome c biogenesis protein, partial",14
"UDP-N-acetyl glucosamine 2-epimerase, partial",14
nodulation protein NopA,14
"DUF6705 family protein, partial",14
HARLDQ motif MBL-fold protein,14
"autotransporter-associated N-terminal domain-containing protein, partial",14
MULTISPECIES: DUF4852 domain-containing protein,14
"TnsD family Tn7-like transposition protein, partial",14
MULTISPECIES: DUF4868 domain-containing protein,14
reactive chlorine-specific transcriptional regulator RclR,14
MULTISPECIES: ATP-dependent nuclease subunit B,14
MULTISPECIES: aminoglycoside N-acetyltransferase AAC(3)-IId,14
2-oxoglutarate dehydrogenase E1 subunit family protein,14
MULTISPECIES: DUF4937 domain-containing protein,14
MULTISPECIES: non-proteolytic archaemetzincin-like protein,14
isocitrate lyase family protein,14
"undecaprenyl-phosphate glucose phosphotransferase, partial",14
"HIT domain-containing protein, partial",14
MULTISPECIES: ribonuclease inhibitor,14
Usg family protein,14
transcriptional regulator FevR,14
"C69 family dipeptidase, partial",14
MULTISPECIES: DUF2200 family protein,14
mobilization protein MobD,14
MULTISPECIES: UBA domain-containing protein,14
MULTISPECIES: type II and III secretion system protein,14
flagella biosynthesis ATPase FlhG,14
NADH ubiquinone dehydrogenase,14
DUF3927 family protein,14
MULTISPECIES: sigma-70 family RNA polymerase sigma factor family protein,14
MULTISPECIES: DUF2332 family protein,14
MULTISPECIES: DUF2250 domain-containing protein,14
SpGH101 family endo-alpha-N-acetylgalactosaminidase,14
queuosine biosynthesis protein queC,14
DUF7018 domain-containing (lipo)protein,14
DUF7973 family transport facilitator,14
MULTISPECIES: lasso peptide biosynthesis protein,14
MULTISPECIES: isopropylmalate synthase,14
"prophage tail fiber N-terminal domain-containing protein, partial",14
MULTISPECIES: SHIRT domain-containing protein,14
tripeptide aminopeptidase PepT,14
DUF91 domain-containing protein,14
MULTISPECIES: relaxase family protein,14
MULTISPECIES: methylmalonyl-CoA decarboxylase subunit epsilon,14
DUF6347 domain-containing protein,14
"glutaminase domain-containing protein, partial",14
"phage terminase small subunit, partial",14
MULTISPECIES: aspartate racemase/maleate isomerase family protein,14
insecticidal toxin complex protein TccA,14
MULTISPECIES: YnfE family protein,14
type I-PGING CRISPR-associated protein Cas5p,14
MULTISPECIES: Cfr family 23S rRNA (adenine(2503)-C(8))-methyltransferase,14
MULTISPECIES: DotU/TssL family secretion system protein,14
MULTISPECIES: DUF6419 family natural product biosynthesis protein,14
MULTISPECIES: molybdopterin-binding domain-containing protein,14
multidrug transporter MatE,14
"TolB-like translocation protein, partial",14
"acetyltransferase, partial",14
MULTISPECIES: virulence master transcriptional regulator RovA,14
efflux RND transporter adaptor subunit AcrA,14
hydantoin racemase,14
MULTISPECIES: glucose/sorbosone family PQQ-dependent dehydrogenase,14
poly(hydroxyalkanoate) granule-associated protein,14
MULTISPECIES: DUF6353 family protein,14
MULTISPECIES: Rv3169 family protein,14
"Dyp-type peroxidase domain-containing protein, partial",14
type VI-B CRISPR accessory protein Csx27,14
MULTISPECIES: CDF family zinc efflux transporter CzrB,14
cheVAW transcriptional regulator CheQ,14
MULTISPECIES: tandem-type lipoprotein,14
MULTISPECIES: hypothiocyanous acid reductase MerA,14
MULTISPECIES: Trp operon leader peptide,14
glycoside hydrolase family 43 C-terminal domain-containing protein,14
"PEPxxWA-CTERM sorting domain-containing protein, partial",14
MULTISPECIES: rare earth element methanol dehydrogenase accessory protein XoxJ,14
"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, partial",14
MULTISPECIES: branched-chain amino acid transport system II carrier protein BrnQ3,14
"TrbL/VirB6 family protein, partial",14
MULTISPECIES: SusD family outer membrane lipoprotein NanU,14
"type II CRISPR RNA-guided endonuclease Cas9, partial",14
"bacteriohemerythrin, partial",14
MULTISPECIES: long-chain-fatty-acid--protein ligase,14
"NADH-quinone oxidoreductase subunit B, partial",14
"cell division topological specificity factor MinE, partial",14
"16S rRNA (guanine(527)-N(7))-methyltransferase RsmG, partial",14
MULTISPECIES: DUF6309 family protein,14
"accessory Sec-dependent serine-rich glycoprotein adhesin, partial",14
MULTISPECIES: n-acyl-d-glucosamine 2-epimerase,14
flagellar hook associated protein,14
"homocitrate synthase/isopropylmalate synthase family protein, partial",14
"MULTISPECIES: phosphotransferase system, HPr-related protein",14
MULTISPECIES: PorE family type IX secretion system protein,14
"MULTISPECIES: endo-1,3-1,4-beta-glycanase ExoK",14
"phosphopantothenoylcysteine decarboxylase, partial",14
"beta-galactosidase small subunit-related protein, partial",14
"primary-amine oxidase, partial",14
type 2 lantipeptide synthetase LanM,14
"LPS assembly protein LptD, partial",14
MULTISPECIES: DNA-binding protein SpoVG,14
"Rv2578c family radical SAM protein, partial",14
oxidative stress transcriptional regulator BosR,14
"30S ribosomal protein S15, partial",14
"DUF2169 family type VI secretion system accessory protein, partial",14
"FABP family protein, partial",14
MULTISPECIES: starch-binding protein,14
MULTISPECIES: protein-arginine deiminase family protein,14
M6 family metalloprotease immune inhibitor InhA2,14
MULTISPECIES: tobH protein,14
MULTISPECIES: RNase J family beta-CASP ribonuclease,14
alpha3-beta1 integrin-binding protein,14
long-chain-fatty-acid--protein ligase LuxE,14
MULTISPECIES: DUF6709 family protein,14
MULTISPECIES: outer membrane lipoprotein periplasmic chaperone LolA1,14
"acyloxyacyl hydrolase, partial",14
sugar tyrosine-protein kinase,14
MULTISPECIES: flagellar biosynthesis protein FlgE,14
MULTISPECIES: BAR domain-like protein A BdpA,14
MULTISPECIES: lanthanide-dependent methanol dehydrogenase XoxF1,14
thiol-activated cytolysin C-terminal domain-containing protein,14
7-cyano-7-deazaguanine reductase,14
MULTISPECIES: galactosyl transferase,14
"beta-N-acetylhexosaminidase family protein, partial",14
MULTISPECIES: YdjY domain-containing protein,14
MULTISPECIES: TIGR04295 family B12-binding domain-containing radical SAM protein,14
"O-linked N-acetylglucosamine transferase family protein, partial",14
"TIGR02391 family protein, partial",14
"gamma-aminobutyraldehyde dehydrogenase, partial",14
fatty acid beta-oxidation multifunctional protein,14
MULTISPECIES: competence protein ComGA,14
MULTISPECIES: GAK system CofD-like protein,14
MULTISPECIES: T-DNA border endonuclease VirD2,14
MAG6090-like repeat-containing lipoprotein,14
MULTISPECIES: sporulation-specific transcription regulator SpoVIF,14
MULTISPECIES: calponin homology domain-containing protein,14
"4-hydroxyphenylpyruvate dioxygenase, partial",14
DUF5395 domain-containing protein,14
arginyl-tRNA--protein arginylyltransferase,14
small ribosomal subunit protein bS18,14
"SsgA family sporulation/cell division regulator, partial",14
MULTISPECIES: multidrug efflux system transcriptional regulator EmrR,14
MULTISPECIES: type II secretion system assembly factor GspB,14
nitrate transporter,14
MULTISPECIES: putative CRISPR-associated protein,14
DNA-binding protein HU,14
lycopene cyclase,14
MULTISPECIES: lantibiotic protection ABC transporter ATP-binding subunit,14
"YkvA family protein, partial",14
PA domain protein,14
"glycosyl hydrolase family 28 protein, partial",14
MULTISPECIES: quorum-sensing autoinducer 2 sensor kinase/phosphatase LuxQ,14
"nucleic acid/nucleotide deaminase domain-containing protein, partial",14
MULTISPECIES: DUF8017 domain-containing protein,14
proteasome assembly chaperone 4 family protein,14
"MULTISPECIES: chorismate synthase, partial",14
arabinosyltransferase,14
DUF7296 family protein,14
MULTISPECIES: DUF2620 family protein,14
MULTISPECIES: daptide-type RiPP biosynthesis dehydogenase,14
large ribosomal subunit protein uL16,14
MULTISPECIES: toxin YdaT domain-containing protein,14
MULTISPECIES: viperin family antiviral radical SAM protein,14
"type VII secretion protein EssC, partial",14
tubulin beta chain,14
nitric oxide reductase,14
MULTISPECIES: SdiA-regulated/phytase-like domain-containing protein,14
MULTISPECIES: exosortase B,14
MULTISPECIES: DUF2681 domain-containing protein,14
acyl-protein synthetase LuxE,14
MULTISPECIES: PA2928 family protein,14
"DUF3320 domain-containing protein, partial",14
"GTPase family protein, partial",14
MULTISPECIES: virulence factor TspB C-terminal domain-related protein,14
dUTP pyrophosphatase,14
"MULTISPECIES: cis,cis-muconate-binding transcription regulator CatM",14
"CusA/CzcA family heavy metal efflux RND transporter, partial",14
single-stranded-DNA-specific exonuclease RecJ family protein,14
peptidase M6 immune inhibitor A,14
blue-light photoreceptor,14
phage DNA encapsidation protein,14
"Mbov_0401 family ICE element transposase-like protein, partial",14
MULTISPECIES: integral membrane protein,14
MULTISPECIES: pimeloyl-CoA dehydrogenase small subunit,14
"poly(ethylene terephthalate) hydrolase family protein, partial",14
MULTISPECIES: lysine decarboxylase,14
MULTISPECIES: envelope stress response regulator transcription factor HitR,14
"putative amidoligase domain-containing protein, partial",14
"Txe/YoeB family addiction module toxin, partial",14
MULTISPECIES: DUF3134 family protein,14
MULTISPECIES: type II toxin-antitoxin system RnlA family toxin,14
phenylphosphate carboxylase subunit delta,14
MULTISPECIES: DNA gyrase,14
"DUF4367 domain-containing protein, partial",14
MULTISPECIES: type I-D CRISPR-associated protein Cas10d/Csc3,14
MULTISPECIES: (R)-2-hydroxyglutaryl-CoA dehydratase activase HgdC,14
MULTISPECIES: TPR repeat region-containing protein,14
L2 family extended-spectrum class A beta-lactamase,14
MULTISPECIES: metallo-dependent hydrolase,14
after-VIT domain-containing protein,14
"DUF6545 domain-containing protein, partial",14
integral membrane regulator,14
MULTISPECIES: DUF6454 family protein,14
MULTISPECIES: YchF/TatD family DNA exonuclease,14
"c-type heme family protein, partial",14
dihydrouridine synthase,14
IS30-like element ISMae39 family transposase,14
MULTISPECIES: chromosome segregation protein,14
M20 family dipeptidase,14
"glycosyltransferase 61 family protein, partial",14
"NACHT and WD repeat domain-containing protein, partial",14
"cytochrome-c oxidase, cbb3-type subunit II, partial",14
MULTISPECIES: cation-efflux pump,14
Photosystem I reaction center subunit IX,14
MULTISPECIES: sphingomyelinase C,14
"MULTISPECIES: 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase",14
"Xaa-Pro dipeptidyl-peptidase, partial",14
MULTISPECIES: DUF6794 domain-containing protein,14
MULTISPECIES: WHG domain-containing protein,14
"imidazolonepropionase-like domain-containing protein, partial",14
PEMT/PEM2 family methyltransferase,14
fibronectin type III,14
"DNA polymerase III subunit epsilon, partial",14
Zn-finger containing protein,14
"leucyl/phenylalanyl-tRNA--protein transferase, partial",14
MULTISPECIES: phytanoyl-CoA dioxygenase,14
XopE/AvrPphe family type III secretion system effector,14
septum formation inhibitor-activating ATPase,14
MULTISPECIES: translocase,14
"plasmid replication initiator TrfA, partial",14
MATH domain-containing protein,14
MULTISPECIES: multidrug efflux RND transporter permease subunit AdeJ,14
poly alpha-glucosyltransferase,14
amylase,14
CemA family protein,14
MULTISPECIES: replication protein A,14
"cysteine protease StiP family protein, partial",14
MULTISPECIES: calmodulin-binding protein,14
geranylgeranyl pyrophosphate synthase,14
BON domain-containing class I SAM-dependent methyltransferase,14
flagellar assembly regulator FliX,14
kelch-like protein,14
monalysin family beta-barrel pore-forming toxin,14
MULTISPECIES: ISL3-like element ISPfr2 family transposase,14
"GbpC/Spa domain-containing protein, partial",14
"adenosylmethionine--8-amino-7-oxononanoate transaminase, partial",14
dimethyl sulfoxide reductase subunit A,14
MULTISPECIES: phosphatase PAP2-related protein,14
"FUSC family membrane protein, partial",14
tetracycline resistance efflux system leader peptide,14
"DUF7151 family protein, partial",14
DUF3785 domain-containing protein,14
"type VI secretion system tube protein Hcp, partial",14
MULTISPECIES: fructose-asparagine asparaginase,14
"pyrroloquinoline quinone biosynthesis protein PqqE, partial",14
"DUF7168 domain-containing protein, partial",14
type-2Aa cytolytic delta-endotoxin,14
"aconitate hydratase, partial",14
"DUF4291 domain-containing protein, partial",14
DUF3417 domain-containing protein,14
MULTISPECIES: OmpA-like protein,14
membrane-bound O-acyltransferase family protein,14
"SCO1860 family LAETG-anchored protein, partial",14
type IV CRISPR-associated protein Csf2,14
MULTISPECIES: lincosamide nucleotidyltransferase Lnu(H),14
MULTISPECIES: DUF6389 family protein,14
MULTISPECIES: conjugal transfer system pilin TrbC,14
aspartate/glutamate/uridylate kinase,14
"MSCRAMM family adhesin SdrC, partial",14
MULTISPECIES: Ni/Fe-hydrogenase b-type cytochrome subunit,14
"YaaA family protein, partial",14
"low molecular weight protein-tyrosine-phosphatase, partial",14
"DUF1989 domain-containing protein, partial",14
"hydroxylamine reductase, partial",14
DUF5055 domain-containing protein,14
DUF3792 family protein,14
"phospholipase D family protein, partial",14
"alkyl sulfatase C-terminal domain-containing protein, partial",14
"LXG domain-containing protein, partial",14
sodium bicarbonate transporter family protein,14
"ChbG/HpnK family deacetylase, partial",14
"translation elongation factor Ts, partial",14
MULTISPECIES: GldM family protein,14
"50S ribosomal protein L21, partial",14
MULTISPECIES: DUF456 family protein,14
keratin-like protein,14
zinc-binding protein,14
lysophosphatidylcholine acyltransferase,14
type III secretion system effector protein XopR,14
phosphopantothenoylcysteine synthetase/decarboxylase family protein,14
DUF2749 domain-containing protein,14
MULTISPECIES: transporter permease,14
N-6 DNA methylase family protein,14
dimethyl sulfoxide reductase anchor subunit,14
MULTISPECIES: 4-hydroxyphenylacetate decarboxylase small subunit,14
"ATP-grasp fold amidoligase family protein, partial",14
Crp/Fnr family transcriptional regulator FnrA,14
MULTISPECIES: TIGR03809 family protein,14
"RNA chaperone Hfq, partial",14
"AzlD domain-containing protein, partial",14
OCRE domain-containing protein,14
two-component system response regulator NtrX,14
"phosphogluconate dehydratase, partial",14
MULTISPECIES: outer membrane protein assembly factor,14
DUF5016 domain-containing protein,14
"MULTISPECIES: 1,4-beta-mannosyl-N-acetylglucosamine phosphorylase",14
MULTISPECIES: DUF6756 family protein,14
MULTISPECIES: DUF2712 domain-containing protein,14
MULTISPECIES: DUF7482 domain-containing protein,14
RAG2 PHD domain containing protein,14
"MULTISPECIES: FruA-associating protein, FapA",14
16S rRNA m5C967 methyltransferase,14
DUF7829 domain-containing protein,14
IMCp domain-containing protein,14
MULTISPECIES: retron Ec78 anti-phage system effector HNH endonuclease PtuB,14
type IV secretion protein VblB7,14
DUF3792 domain-containing protein,14
"MULTISPECIES: RICIN domain-containing protein, partial",14
"FitA-like ribbon-helix-helix domain-containing protein, partial",14
"PaaX family transcriptional regulator, partial",14
MULTISPECIES: TQXA domain-containing protein,14
type IV pili formation protein SgmX,14
tagatose-6-phosphate ketose isomerase,14
"MULTISPECIES: MarR family winged helix-turn-helix transcriptional regulator, partial",14
"MULTISPECIES: cytochrome P450, partial",14
"MULTISPECIES: sigma-70 family RNA polymerase sigma factor, partial",14
tRNA 2-selenouridine synthase,14
"bifunctional polysaccharide deacetylase/glycosyltransferase family 2 protein, partial",14
"MULTISPECIES: 3'(2'),5'-bisphosphate nucleotidase",14
MULTISPECIES: sugar ABC transporter ATP-binding protein GguA,14
conjugal transfer protein TrbN,14
MULTISPECIES: two-component system sensor histidine kinase ChvG,14
MULTISPECIES: sugar ABC transporter substrate-binding protein ChvE,14
LIC12338 family lipoprotein,14
NAD-dependent phenylacetaldehyde dehydrogenase,14
MULTISPECIES: phenylacetic acid degradation protein,14
sporulation killing factor system radical SAM maturase,14
MULTISPECIES: aminoglycoside nucleotidyltransferase ANT(2'')-Ia,14
MULTISPECIES: DUF5345 family protein,14
MULTISPECIES: PQQ-dependent alcohol dehydrogenase PedH,14
Tsi3 family protein,14
"protein-disulfide reductase DsbD N-terminal domain-containing protein, partial",14
"DUF6113 family protein, partial",14
"FTR1 family iron permease, partial",14
DfrD/DfrG/DfrK family trimethoprim-resistant dihydrofolate reductase,14
"NADPH:quinone oxidoreductase family protein, partial",14
TGBp1 family protein,14
"TIGR00730 family Rossman fold protein, partial",14
phospholipid methyltransferase,14
MULTISPECIES: potassium-transporting ATPase,14
"N-terminal phage integrase SAM-like domain-containing protein, partial",14
"50S ribosomal protein L16, partial",14
MULTISPECIES: glycoside hydrolase family 65,14
myxosortase MrtC,14
MIX and LysM peptidoglycan-binding domain-containing protein,14
MAG2810 family protein,14
bacterioferritin comigratory protein,14
"CIS tube protein, partial",14
MULTISPECIES: fibronectin-binding protein EfbA,14
MULTISPECIES: phosphonoacetaldehyde reductase,14
mannosylglucosylglycerate synthase,14
peptidase M12,14
MULTISPECIES: AadA family aminoglycoside 3''-O-nucleotidyltransferase,14
beta-lactamase transcriptional regulator PenR,14
ribosomal protein uS13,14
MULTISPECIES: ANT(9) family aminoglycoside nucleotidyltransferase Spw,14
neurofilament protein,14
"nickel pincer cofactor biosynthesis protein LarC, partial",14
"2-amino-5-chlorophenol 1,6-dioxygenase subunit alpha",14
"GAD-like domain-containing protein, partial",14
indoleacetate decarboxylase,14
indoleacetate decarboxylase activase,14
DUF3458 domain-containing protein,14
MULTISPECIES: APH(3')-I family aminoglycoside O-phosphotransferase,14
"M42 family metallopeptidase, partial",14
MULTISPECIES: DVU_1556 family methyltransferase,14
MULTISPECIES: PF03691 family colicin E2 tolerance protein CbrC,14
MULTISPECIES: serine integrase family protein,14
fatty-acid--AMP ligase,14
"alkyl/aryl-sulfatase, partial",14
MULTISPECIES: fimbria biosynthesis regulator FimY,14
"UbiX family flavin prenyltransferase, partial",14
TerL,14
MULTISPECIES: DUF2300 domain-containing protein,14
MULTISPECIES: beta (1-6) glucans synthase,14
cell wall-binding protein EntC,14
MULTISPECIES: termination factor Rho,14
MULTISPECIES: LeoA/HP0731 family dynamin-like GTPase,14
exopolysaccharide glucosyl ketal-pyruvate-transferase,14
MULTISPECIES: XopAG/AvrGf1 family type III secretion system effector,14
MULTISPECIES: FosA family fosfomycin resistance glutathione transferase,14
MULTISPECIES: host specificity factor TipJ family phage tail protein,14
MgtE protein,14
"preprotein translocase subunit YajC, partial",14
MULTISPECIES: ECP biosynthesis operon DNA-binding transcriptional regulator EcpR,14
MULTISPECIES: DUF7665 family protein,14
4-oxalocrotonate decarboxylase,14
MULTISPECIES: DUF6567 family protein,14
MULTISPECIES: methylation-associated defense system restriction endonuclease subunit S MAD5,14
MULTISPECIES: Bbp16 family capsid cement protein,14
MULTISPECIES: TIGR03545 family protein,14
H-type ferritin FtnA,14
"Sec-independent protein translocase subunit TatA, partial",14
MULTISPECIES: DUF1317 domain-containing protein,14
"protein-L-isoaspartate(D-aspartate) O-methyltransferase, partial",14
MULTISPECIES: endospore biogenesis thiol-disulfide oxidoreductase StoA,14
MULTISPECIES: 3-beta-hydroxysteroid dehydrogenase,14
Fels-1 prophage protein,14
putative bacteriophage protein,14
malic enzyme-like protein,14
murein peptide amidase A,14
fimbrial-like adhesin protein,14
MULTISPECIES: phosphoribosylglycinamide formyltransferase 2,14
GspE family T2SS ATPase variant ExeE,14
"MOSC N-terminal beta barrel domain-containing protein, partial",14
MULTISPECIES: murein tripeptide ABC transporter substrate-binding protein MppA,14
MULTISPECIES: barbiturase,14
MULTISPECIES: type IVB secretion system lipoprotein DotD,14
"formate dehydrogenase, partial",14
class A beta-lactamase Bla1,14
"class III lanthionine synthetase LanKC N-terminal domain-containing protein, partial",14
"DUF6088 family protein, partial",14
MULTISPECIES: AVAST type 1 anti-phage system protein Avs1c,14
MULTISPECIES: colicin M resistance lipid reductase CbrA,14
MULTISPECIES: methylation-associated defense system DNA methyltransferase MAD2,14
MULTISPECIES: DUF4172 domain-containing protein,14
MULTISPECIES: type VII secretion protein,14
"DNA polymerase III subunit beta family protein, partial",14
"alkane 1-monooxygenase, partial",14
MULTISPECIES: putative B6 ABC transporter permease subunit 2,14
sterol transporter cytoplasmic membrane protein BstA,14
RinA family protein,14
MULTISPECIES: DUF6294 family protein,14
MULTISPECIES: persulfide dioxygenase-sulfurtransferase CstB,14
MULTISPECIES: flavinylation system FAD exporter subunit EetB,14
"putative LPS assembly protein LptD, partial",14
MULTISPECIES: DUF7701 domain-containing protein,14
MULTISPECIES: pyoverdine biosynthesis transaminase PtaA,14
MULTISPECIES: manganese-exporting P-type ATPase CtpC,14
fasciclin,14
acyl-CoA thioester hydrolase,14
MULTISPECIES: amonabactin ABC transporter permease subunit 2,14
MULTISPECIES: bacteriocin fulvocin C-related protein,14
MULTISPECIES: molybdopterin-binding oxidoreductase,14
MULTISPECIES: COR domain-containing protein,14
"DNA modification methylase, partial",14
MULTISPECIES: S-layer family protein,14
Mid2-like cell wall stress sensor domain protein,14
thiamine biosynthesis protein ThiS,14
"DNA polymerase III subunits gamma/tau, partial",14
"arsenate-mycothiol transferase ArsC, partial",14
protein phosphatase 1 regulatory subunit 42,14
MULTISPECIES: protease adaptor protein SpxH,14
MULTISPECIES: fibrinogen-like YCDxxxxGGGW domain-containing protein,14
MULTISPECIES: protein DpdJ,14
"RNA ligase family protein, partial",14
MULTISPECIES: complex I NDUFA12 subunit family protein,14
"DUF6069 family protein, partial",14
MULTISPECIES: homoserine dehydrogenase family protein,14
MULTISPECIES: protein-glutamate methylesterase/protein glutamine deamidase,14
Hin recombinase,14
trimethylamine corrinoid protein 2,14
DUF5397 domain-containing protein,14
cytochrome C nitrite reductase,14
MULTISPECIES: BT_2262 family domain-containing protein,14
MULTISPECIES: tail tape measure protein,14
MULTISPECIES: UmoD family flagellar biogenesis regulator,14
MULTISPECIES: outer membrane porin GjpA,14
MULTISPECIES: protein YpjK,14
MULTISPECIES: glucose-induced regulator RulR,14
type VI secretion protein ImpA,14
MULTISPECIES: thiamine-phosphate diphosphorylase,14
MULTISPECIES: plasmid IncI1-type surface exclusion protein ExcA,14
"MULTISPECIES: exo-beta-d-1,3/1,6-glucosidase",14
MULTISPECIES: cytolethal distending toxin subunit B family protein,14
"recombination protein NinG, partial",14
MULTISPECIES: McbB family protein,14
MULTISPECIES: lactate utilization protein C,14
cystine ABC transporter substrate-binding lipoprotein TcyA,14
MULTISPECIES: putative rhamnosyl transferase,14
MULTISPECIES: monoheme cytochrome C,14
"OST-HTH/LOTUS domain-containing protein, partial",14
insecticidal toxin MCF,14
MULTISPECIES: sialic acid transporter NanT,14
"glycoside hydrolase family 55 protein, partial",14
KOW domain-containing protein,14
glycosyl hydrolase family 38,14
MULTISPECIES: FimV family protein,14
MULTISPECIES: primase-like DNA-binding domain-containing protein,14
endo-beta-N-acetylglucosaminidase F3,14
"ribonuclease PH, partial",14
