annotation,count
GTP-binding protein,20566
MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase,20517
heavy-metal-associated domain-containing protein,20498
sodium:solute symporter family protein,20478
nucleotide exchange factor GrpE,20423
mandelate racemase/muconate lactonizing enzyme family protein,20410
transcriptional regulator,20398
S1 family peptidase,20393
RrF2 family transcriptional regulator,20379
YdcF family protein,20374
peptide-methionine (R)-S-oxide reductase MsrB,20331
phenylalanine--tRNA ligase subunit beta,20259
sulfurtransferase,20254
"peptidoglycan D,D-transpeptidase FtsI family protein",20245
cysteine--tRNA ligase,20240
glucose-6-phosphate isomerase,20225
alanine--tRNA ligase,20218
tyrosine--tRNA ligase,20214
glutamine--fructose-6-phosphate transaminase (isomerizing),20197
antibiotic biosynthesis monooxygenase family protein,20166
glycosyltransferase family 9 protein,20156
ATP-dependent DNA helicase,20121
type 1 glutamine amidotransferase domain-containing protein,20118
leucine--tRNA ligase,20106
molecular chaperone DnaK,20103
tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,20085
peptidoglycan DD-metalloendopeptidase family protein,20002
5-formyltetrahydrofolate cyclo-ligase,19987
multidrug effflux MFS transporter,19970
PepSY domain-containing protein,19956
DNA polymerase I,19956
CheR family methyltransferase,19953
undecaprenyl-diphosphate phosphatase,19947
endolytic transglycosylase MltG,19935
,19891
diaminopimelate decarboxylase,19886
superoxide dismutase,19880
MULTISPECIES: sigma-70 family RNA polymerase sigma factor,19853
preprotein translocase subunit SecA,19846
histidine--tRNA ligase,19832
UDP-N-acetylmuramate dehydrogenase,19809
GDSL-type esterase/lipase family protein,19787
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,19787
tRNA lysidine(34) synthetase TilS,19768
PEP-CTERM sorting domain-containing protein,19762
2-isopropylmalate synthase,19716
DNA-directed RNA polymerase subunit beta,19696
O-methyltransferase,19672
aspartate/glutamate racemase family protein,19659
triose-phosphate isomerase,19638
MlaD family protein,19590
serine--tRNA ligase,19582
MULTISPECIES: MBL fold metallo-hydrolase,19572
argininosuccinate lyase,19566
MULTISPECIES: 50S ribosomal protein L33,19561
ribulose-phosphate 3-epimerase,19552
replicative DNA helicase,19548
tRNA pseudouridine(38-40) synthase TruA,19527
sulfatase family protein,19515
adenylosuccinate lyase,19488
MULTISPECIES: cupin domain-containing protein,19461
acyl-CoA synthetase,19457
3-isopropylmalate dehydratase large subunit,19448
SMI1/KNR4 family protein,19372
electron transfer flavoprotein subunit alpha/FixB family protein,19364
HAD-IA family hydrolase,19360
cytochrome ubiquinol oxidase subunit I,19352
DNA polymerase III subunit delta,19329
transcription-repair coupling factor,19319
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,19308
dephospho-CoA kinase,19305
excinuclease ABC subunit UvrC,19301
tRNA 2-thiouridine(34) synthase MnmA,19293
alpha-ketoacid dehydrogenase subunit beta,19293
class I SAM-dependent DNA methyltransferase,19288
crotonase/enoyl-CoA hydratase family protein,19284
methionine adenosyltransferase,19275
UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,19242
uroporphyrinogen-III synthase,19207
MULTISPECIES: translation initiation factor IF-1,19193
WXG100 family type VII secretion target,19183
calcium-binding protein,19178
glucose-6-phosphate dehydrogenase,19175
1-deoxy-D-xylulose-5-phosphate synthase,19171
aminoacyl-tRNA hydrolase,19128
cytochrome b,19115
NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,19111
AMP-dependent synthetase/ligase,19110
enoyl-CoA hydratase,19079
16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,19072
ribonuclease HII,19071
trigger factor,19061
3-dehydroquinate synthase,19055
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",19047
diguanylate cyclase,19043
phosphoglycerate kinase,19040
tRNA pseudouridine(55) synthase TruB,19034
cytochrome d ubiquinol oxidase subunit II,19026
tryptophan synthase subunit beta,19007
lysine--tRNA ligase,18976
pyrroline-5-carboxylate reductase,18966
phosphoribosylamine--glycine ligase,18934
peptide chain release factor N(5)-glutamine methyltransferase,18920
TrkH family potassium uptake protein,18920
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,18917
aspartate--tRNA ligase,18907
YggS family pyridoxal phosphate-dependent enzyme,18906
thioredoxin-disulfide reductase,18899
ATP-dependent DNA helicase RecG,18899
radical SAM family heme chaperone HemW,18896
dihydrolipoamide acetyltransferase family protein,18854
YitT family protein,18841
excinuclease ABC subunit UvrB,18839
3-phosphoshikimate 1-carboxyvinyltransferase,18824
tripartite tricarboxylate transporter permease,18811
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,18770
HpcH/HpaI aldolase/citrate lyase family protein,18767
4-hydroxy-tetrahydrodipicolinate reductase,18740
sigma-54 interaction domain-containing protein,18736
DNA repair protein RecN,18728
orotidine-5'-phosphate decarboxylase,18722
IS5 family transposase,18715
M20 family metallopeptidase,18696
acetate--CoA ligase,18684
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,18684
nucleotide sugar dehydrogenase,18682
replication-associated recombination protein A,18665
asparaginase,18647
translation initiation factor IF-2,18637
RelA/SpoT family protein,18636
signal recognition particle-docking protein FtsY,18632
16S rRNA (cytidine(1402)-2'-O)-methyltransferase,18629
PIN domain-containing protein,18578
NADP-dependent isocitrate dehydrogenase,18565
transglycosylase SLT domain-containing protein,18559
DNA polymerase III subunit beta,18532
ADP-ribosylglycohydrolase family protein,18520
FAD:protein FMN transferase,18503
phosphoenolpyruvate--protein phosphotransferase,18478
glutamine-hydrolyzing GMP synthase,18445
phosphopyruvate hydratase,18437
isochorismatase family protein,18429
NfeD family protein,18422
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,18393
MULTISPECIES: AraC family transcriptional regulator,18360
DNA gyrase subunit A,18345
DUF1501 domain-containing protein,18338
PhzF family phenazine biosynthesis protein,18334
chorismate synthase,18330
membrane protein insertase YidC,18327
MULTISPECIES: 30S ribosomal protein S10,18306
signal peptidase II,18301
cyclase family protein,18297
phosphoglucosamine mutase,18294
adenylate kinase,18285
methylenetetrahydrofolate reductase,18285
carbamoyl-phosphate synthase large subunit,18278
diaminopimelate epimerase,18275
glycoside hydrolase family 13 protein,18257
shikimate dehydrogenase,18235
beta-N-acetylhexosaminidase,18230
tryptophan synthase subunit alpha,18227
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,18221
Maf family protein,18217
N-acetyl-gamma-glutamyl-phosphate reductase,18216
polyribonucleotide nucleotidyltransferase,18182
type I DNA topoisomerase,18163
"dTDP-glucose 4,6-dehydratase",18161
electron transfer flavoprotein subunit beta/FixA family protein,18146
DJ-1/PfpI family protein,18143
MULTISPECIES: glycosyltransferase family 2 protein,18128
DNA cytosine methyltransferase,18106
ComF family protein,18097
guanylate kinase,18096
tRNA (guanosine(37)-N1)-methyltransferase TrmD,18095
dTMP kinase,18062
DNA topoisomerase (ATP-hydrolyzing) subunit B,18056
SIS domain-containing protein,18045
phosphoribosylaminoimidazolesuccinocarboxamide synthase,18030
BlaI/MecI/CopY family transcriptional regulator,18022
aromatic ring-hydroxylating oxygenase subunit alpha,18019
M14 family metallopeptidase,17985
YebC/PmpR family DNA-binding transcriptional regulator,17980
phosphate ABC transporter permease PstA,17953
ribosome small subunit-dependent GTPase A,17935
methionine synthase,17925
glutathione peroxidase,17899
thiamine pyrophosphate-binding protein,17832
MmcQ/YjbR family DNA-binding protein,17831
DNA-directed RNA polymerase subunit beta',17828
ThuA domain-containing protein,17817
16S rRNA (uracil(1498)-N(3))-methyltransferase,17812
endopeptidase La,17806
bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,17805
DNA repair protein RecO,17801
exodeoxyribonuclease VII large subunit,17786
hydroxymethylbilane synthase,17785
FkbM family methyltransferase,17783
IS110 family transposase,17770
amidophosphoribosyltransferase,17756
translation elongation factor 4,17750
phosphoribosylglycinamide formyltransferase,17747
beta-ketoacyl-ACP synthase II,17747
TPM domain-containing protein,17741
3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,17730
signal recognition particle protein,17723
orotate phosphoribosyltransferase,17717
3-isopropylmalate dehydratase small subunit,17704
glycerol kinase GlpK,17695
MULTISPECIES: NUDIX hydrolase,17694
cell division protein FtsZ,17692
phenylalanine--tRNA ligase subunit alpha,17689
murein biosynthesis integral membrane protein MurJ,17676
anthranilate phosphoribosyltransferase,17665
ribosome maturation factor RimM,17649
peptide chain release factor 1,17648
Holliday junction branch migration protein RuvA,17639
redox-regulated ATPase YchF,17622
DUF4097 family beta strand repeat-containing protein,17619
M56 family metallopeptidase,17605
imidazole glycerol phosphate synthase subunit HisH,17591
rRNA maturation RNase YbeY,17590
adenylosuccinate synthase,17561
MULTISPECIES: amino acid ABC transporter permease,17559
tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,17552
TAXI family TRAP transporter solute-binding subunit,17541
polysaccharide biosynthesis/export family protein,17523
F0F1 ATP synthase subunit A,17522
peptide ABC transporter substrate-binding protein,17517
bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,17481
ribosome biogenesis GTPase Der,17480
carbonic anhydrase,17436
(d)CMP kinase,17424
class II fructose-bisphosphate aldolase,17403
chromosomal replication initiator protein DnaA,17383
glutamine synthetase family protein,17377
FtsW/RodA/SpoVE family cell cycle protein,17369
Holliday junction branch migration DNA helicase RuvB,17343
IMP dehydrogenase,17310
inorganic phosphate transporter,17280
prolyl oligopeptidase family serine peptidase,17272
biotin--,17264
glutamate racemase,17259
cysteine synthase A,17254
purine-nucleoside phosphorylase,17232
Gfo/Idh/MocA family oxidoreductase,17226
gamma-glutamyltransferase,17214
CTP synthase,17205
ferrochelatase,17195
peptide chain release factor 2,17179
CGNR zinc finger domain-containing protein,17158
BCCT family transporter,17153
ornithine carbamoyltransferase,17151
MULTISPECIES: HU family DNA-binding protein,17127
prepilin peptidase,17123
ribonuclease III,17118
bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,17115
glycosyltransferase family 39 protein,17060
SigE family RNA polymerase sigma factor,17052
translation elongation factor Ts,17048
DNA repair protein RadA,17044
fasciclin domain-containing protein,17037
NCS2 family permease,17024
4'-phosphopantetheinyl transferase family protein,17024
phosphoglycerate dehydrogenase,17022
tripartite tricarboxylate transporter TctB family protein,17022
GTPase Era,17016
RICIN domain-containing protein,17011
glutamate-5-semialdehyde dehydrogenase,17001
3-isopropylmalate dehydrogenase,16987
alkaline phosphatase D family protein,16985
glycosyltransferase family protein,16974
membrane protein insertion efficiency factor YidD,16949
maleylpyruvate isomerase family mycothiol-dependent enzyme,16947
catalase,16945
"GTP 3',8-cyclase MoaA",16941
alanine/glycine:cation symporter family protein,16941
porphobilinogen synthase,16927
Holliday junction resolvase RuvX,16920
ATP-dependent chaperone ClpB,16914
cell division protein FtsQ/DivIB,16900
phospho-N-acetylmuramoyl-pentapeptide-transferase,16892
metal ABC transporter ATP-binding protein,16867
nicotinate phosphoribosyltransferase,16865
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,16862
gamma carbonic anhydrase family protein,16859
DegV family protein,16841
pantetheine-phosphate adenylyltransferase,16809
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,16783
F0F1 ATP synthase subunit alpha,16782
